name,total_raised_usd
Clearwire,5700000000.0
"Verizon Communications, Inc.",3985050000.0
Healios K.K,3000000000.0
Facebook,2425700000.0
Carestream,2400000000.0
DeNA,2208000000.0
Fisker Automotive,1451000000.0
Twitter,1160166511.0
Xerox,1100000000.0
Jd.com,1100000000.0
"Sirius XM Radio, Inc.",1055750000.0
AndrewBurnett.com Ltd,1000000000.0
Bloom Energy,980000000.0
SurveyMonkey,964999998.0
LivingSocial,924499965.0
Zynga,860213000.0
BrightSource Energy,845000000.0
Better Place,835750000.0
University of Maryland,750000000.0
Telefonica,743000000.0
Seagate Technology,681759114.0
Beacon Holding,674598700.0
Enel OGK-5,625000000.0
Demand Media,622552813.0
Palantir Technologies,605008017.0
Vertex Pharmaceuticals,598000000.0
Sina Weibo,586000000.0
Qihoo 360 Technology,575000000.0
Extended Stay America,565000000.0
Vivint,565000000.0
Pinterest,562500000.0
G4S,541000000.0
M.Setek,540000000.0
Flipkart,540000000.0
Spotify,533240000.0
First Wind,522000000.0
Mobileye,515000000.0
Abound Solar,510000000.0
Rouse Properties,510000000.0
HomeAway,503751458.0
A123 Systems,502860000.0
Datapipe,487358426.0
SoFi (Social Finance),482199900.0
Renren Inc.,478000000.0
Deem,466905435.0
MiaSolé,466000000.0
GREE,464320000.0
SoloPower,458089999.0
Intrexon Corporation,437592352.0
Lazada Group,436000000.0
Bigpoint,420000000.0
Alitalia,412000000.0
NextG Networks,409900000.0
Box,408600000.0
Jawbone,402947072.0
Fanatics,395000000.0
Billabong International,382106890.0
Rearden Commerce,379540147.0
Reata Pharmaceuticals,378000000.0
Amp'd Mobile,374000000.0
VMware,368500000.0
Haier,364000000.0
IO.com,361000000.0
Clovis Oncology,356962756.0
TRUECar,351600000.0
Xiaomi,347000000.0
Square,340500000.0
BONESUPPORT,340000000.0
Sunrun,336600000.0
Fab.com,336325000.0
Symphogen,334400000.0
Ancestry,333200000.0
OnDeck,332000000.0
Concur Technologies,331284092.0
Airbnb,326441000.0
CompuCom Systems Holding,323000000.0
Relypsa,322129887.0
ConforMIS,319397585.0
Kosmos Biotherapeutics,319000000.0
SunGard,316000000.0
OxThera,315000000.0
Sagurao Resources,315000000.0
Liberty Dialysis,314960000.0
Highwinds,311800000.0
eRecycling Corps,311453228.0
Uber,307450000.0
Goodman Networks,301000000.0
Barnes & Noble,300000000.0
Carrier Energy Partners,300000000.0
Kior,297920000.0
Spacecom,293000000.0
PPTV,286500000.0
Silver Spring Networks,283929977.0
Sapphire Energy,283500000.0
Brightstar,283000000.0
iRidge,280000000.0
Coupons.com,276760000.0
Tengion,276263531.0
AirCell,276108581.0
GridPoint,275388886.0
