year,raised_usd
1960,52736030.0
1973,0.0
1974,1000000000.0
1984,141000.0
1985,0.0
1987,4300000.0
1989,15000.0
1990,1000000.0
1992,2000000.0
1993,125000.0
1994,13400000.0
1995,27300000.0
1996,65542500.0
1997,64620000.0
1998,156623990.0
1999,564489028.0
2000,2722823790.0
2001,1702111220.0
2002,895974740.0
2003,1092073702.0
2004,2247123640.0
2005,15684929059.0
2006,20469366716.0
2007,29408484785.0
2008,37973599878.0
2009,36244271443.0
2010,48441787782.0
2011,66097227989.0
2012,63867411022.0
2013,96758804441.0
,836020000.0
