investor_id,investor_name,deals
f:367,Financial org 367,529
f:316,New Enterprise Associates,515
f:17,Digg,507
f:3181,SV Angel,484
f:4,Accel Partners,480
f:41,Financial org 41,478
c:2520,Y Combinator,478
f:26,Financial org 26,462
f:5928,500 Startups,364
f:29,First Round Capital,361
f:1,Financial org 1,307
f:48,Benchmark,306
c:362,Techstars,297
f:18,Index Ventures,295
f:42,Financial org 42,283
f:94,Financial org 94,282
f:13,Redpoint Ventures,250
f:3127,Andreessen Horowitz,245
f:66,Khosla Ventures,244
f:134,Financial org 134,244
f:507,Financial org 507,241
f:137,Financial org 137,240
f:191,Venrock,236
f:215,Canaan Partners,236
f:192,Financial org 192,232
f:123,Highland Capital Partners,228
f:2195,Google Ventures,227
f:7,Charles River Ventures,223
f:272,Polaris Partners,222
f:111,Atlas Venture,221
f:74,True Ventures,221
f:86,Norwest Venture Partners,219
f:286,Financial org 286,209
f:269,Financial org 269,207
f:23,Foundation Capital,203
f:61,Mayfield Fund,200
f:147,Financial org 147,200
f:243,Financial org 243,191
f:3,Financial org 3,188
f:951,InterWest Partners,178
f:1186,High-Tech Gruenderfonds,173
f:262,Financial org 262,170
f:3809,Founder Collective,169
f:12,Financial org 12,169
f:116,Mohr Davidow Ventures,169
f:249,Financial org 249,164
f:70,BDC Venture Capital,163
f:4691,Lerer Ventures,159
f:446,Financial org 446,159
f:36,Goldman Sachs,156
f:62,Financial org 62,154
f:173,Shasta Ventures,153
f:443,DCM,146
f:737,SoftTech VC,145
f:4850,FLOODGATE,143
f:248,Financial org 248,137
f:214,Financial org 214,133
f:105,Balderton Capital,131
f:6,Financial org 6,130
f:45,Union Square Ventures,128
f:34,Spark Capital,128
f:113,Financial org 113,126
f:375,Financial org 375,126
f:130,VantagePoint Capital Partners,126
c:44900,Startupbootcamp,125
f:3576,Oxford Capital Partners,125
f:89,Madrona Venture Group,123
f:1080,Financial org 1080,120
f:745,Financial org 745,119
f:624,Scottish Equity Partners,119
p:125,Person 125,118
f:7999,CrunchFund,117
f:64,Flybridge Capital Partners,116
f:91,Financial org 91,111
f:636,Bain Capital Ventures,111
f:24,Financial org 24,111
f:3440,Silicon Valley Bank,107
f:562,Sierra Ventures,106
f:99,Financial org 99,106
f:1749,Financial org 1749,106
f:133,3i Group,105
f:73,Trident Capital,102
f:149,Bay Partners,101
f:146,Jafco Ventures,100
f:1262,Rho Capital Partners,99
f:1028,Qualcomm Ventures,97
f:573,Flagship Ventures,97
f:96,Baseline Ventures,96
c:20953,betaworks,96
f:2250,Financial org 2250,95
f:318,Advanced Technology Ventures,95
f:204,Alloy Ventures,93
f:1391,Financial org 1391,93
f:49,Storm Ventures,93
f:1890,Financial org 1890,92
f:390,Financial org 390,91
f:567,iNovia Capital,90
f:518,Scale Venture Partners,90
f:245,Carmel Ventures,89
f:2253,Versant Ventures,89
